Name,Description,Phone,Email,Location
Yusuf Onder Architect & Partner,"['Yusuf Onder, Academy of Art University San Francisco Speech, 2011.', 'Every project has its own expression to the site, program and clients’ needs. ', 'Our primary goal is to create an emotional connection where proportions, capturing daylight, as well extending interior space to the outdoor, and into the landscape are the most fundamental elements to Yusuf Onder ', ' & Partner. ', 'Yusuf Onder born and grow up in Germany as a Turkish immigrant. After getting his Bachelor degree from the University in Germany, he ventured to get his master degree in Architecture from the Academy of Art University in San Francisco, America and worked many years for Pritzker Price Winner Richard Meier & Partners Architects in his Los Angeles Office where he worked in multiple international Projects like the Ward Village Gateway in Honolulu, the UCLA Edie & Lew Wasserman building and the 9200 Wilshire Boulevard in Beverly Hills, California.', 'Prior to Richard Meier & Partners Architects, Yusuf Onder worked many years for Hill West Architects New York where he worked on multiple Projects like the North Park Tower, New York or the Court Square City View Tower, Long Island City.', 'Yusuf Onder Architect & Partner is led by Founder Yusuf Onder and Business Partner’s in Germany with offices in New York and Vechta Germany.']",[],"['yonder@yusufonder.com', 'yonder@yusufonder.com']","[""'New York, NY, US, 11385'"", ""''"", ""'Vechta, DE, 49377'"", ""''""]"
STUDIOS Architecture,"['STUDIOS Architecture is an international design firm with offices in San Francisco, Los Angeles, Washington DC, New York, Mumbai, and Paris. The firm offers comprehensive services including architecture, interiors, master planning, and strategic consulting.']",,,
Bushman Dreyfus Architects,"['Goals: pleased clients, better communities, beautiful functional structures.\xa0', 'We are talented generalists, happiest when a project improves a landscape or urban precinct and - in all seriousness - makes life on earth a little bit better.', 'We believe architectural design is a personal and professional conversation between us, our clients, the profession, and the public. We believe the strongest projects are a forged cultural alloy, a bit like Damascus steel: complex, strong, iterative, heterogeneous, permanent, demanding commitment and talent, utterly reliable. And, uh, beautiful. Out of many, one.', 'Our practice is remarkably diverse, serving public and private clients locally and nationally. Our work embraces scales from regional community planning to furnishings and interior design. We admire old buildings and work hard to care for them - and have won awards doing so - but the world is not what it was yesterday. Our freshly minted work is planted firmly in the present tense.', 'Specialties: Theaters and performing arts, historic rehabilitation, higher education facilities, commercial office interiors, residences, campus and precinct master planning.']","[""'434-295-1936'""]",['info@bdarchitects.com'],"[""'820 East High Street'"", ""'Suite B'"", ""'Charlottesville, VA, US, 22902'"", ""''""]"
Studiolite,"[' ', ' is an international collaborative of architects, urban planners, designers, artists and thinkers. We believe in a multidisciplinary and personalized approach in all fields, and strive for design excellence and invention in every one of our projects.', 'Our scope covers design strategies from urban planning, to architecture and interior design services, as well as product design and positioning consultancy. We are firm believers in the collaborative nature of design problems, and work with other well-known design groups and institutions to deepen the success of each and every project.', 'Made up of a large number of designers from around the globe, we strive to achieve the best solutions for every project through careful collaboration with clients. We believe in strengthening existing urban and natural contexts through functional optimization, sustainability, and the promotion of social structures and successful business strategies through careful planning and execution. As designers, first and foremost, we are committed to bettering our cities and buildings through innovative solutions so they may strengthen our communities, and make the world a better place.', '\xa0']","[""'+86 186 5717 7536'""]",['contact@studiolite.ch'],"[""'Baodi Plaza L7'"", ""'588 Dalian Road'"", ""'Shanghai, CN, 20082'"", ""''""]"
BCV Architecture + Interiors,"['\n\tBCV Architecture + Interiors is a San Francisco and New York-based, award-winning architecture and design firm with international experience in creating exquisitely detailed environments and sustainable communities. BCV’s work includes Houses, Hospitality, Commercial and Civic/Cultural projects. BCV applies timeless, environmentally-sound lifestyle design to a diversity of project scales from master planning and large scale commercial projects to the architecture and interiors of hospitality and houses, to the finely crafted design of custom furniture and fixtures.']","[""'(415) 398-6538'"", ""'(212) 895-8798'""]","['careers@bcvarch.com', 'careers@bcvarch.com']","[""'1527 Stockton St'"", ""'4th Floor'"", ""'San Francisco, CA, US, 94133'"", ""''"", ""'333 Hudson Street'"", ""'New York, NY, US, 10013'"", ""''""]"
META-field | beta-field,"[' |\xa0', ' is a speculative and applied research group focused on collaborative and interdisciplinary design research - integrating ', ',\xa0', 'and ', '. We investigate novel and innovative approaches to material systems, information assemblies and emergent technologies directed toward the construction, mediation and augmentation of our shared built environment.']",,,
EVOLVERE ABITANDO,"['EVOLUTION WITH DWELLING AS A MEANS', 'Founded by the Italian architect Fabrizia Zorzenon, ', ' is a design consulting agency that specializes in developing properties which create a true sense of well-being. ', 'Under the guidance of an Ancient Knowledge, Evolvere Abitando is able to devise, develop and create residential properties that are not only beautiful and efficient, but also promote a deep sense of harmony for those who can call them home. Our houses are built as not mere dwellings, but spaces and means for the conscious creation of a life that is fulfilling and rewarding at all levels. ']","[""'2081442927'""]",['info@evolvereabitando.com'],"[""'71-75 Shelton Street, Covent Garden'"", ""'United Kingdom'"", ""'London, WC2H 9JQ'"", ""''""]"
MUA - Multiverse Architecture,[],"[""'+995 0 32 2 180 188'""]",['office@mua.ge'],"[""'Egnate Ninoshvili str.'"", ""'8'"", ""'Tbilisi, GE, 0102'"", ""''""]"
Studio RHE,"['\n\t', 'is a London based architecture and design practice with a global reputation for delivering bold, innovative, residential, leisure and workplace environments.\xa0']",,,
Kevin O'Sullivan + Associates,"['Born in Scotland, Kevin O’Sullivan is the principal of Kevin O’Sullivan and Associates, an architectural design company based in New York City and the Hamptons. The firm serves a variety of client needs including architectural and interior design for city and country homes, as well as custom furniture.', 'Kevin earned his architectural Honors degree in Scotland at the University of Edinburgh. Prior to forming Kevin O’Sullivan and Associates in 2001, Kevin apprenticed at internationally renowned architecture firms, including Michael Hopkins and Partners in London, DP Architects in Singapore and Gwathmey Siegel and Associates in New York.', 'Kevin’s education and international experience have enabled him to integrate classical proportions with contemporary design styles. His work reflects over twenty years of experience and his desire to support sophisticated lifestyles with the best of classical European forms, contemporary materials, and subtle design elements.', 'A Southampton native, Luke Ferran holds a five-year Bachelors of Architecture degree from the New York Institute of Technology. During his career in architecture, Luke has worked for firms in both San Francisco and New York, giving him a wide range of knowledge in different building methods and typologies. Prior to his position as the senior project manager at Kevin O’Sullivan & Associates, Luke was a project manager at Blaze Makoid Architecture and the Director of Architecture for Elle Décor A-List member Robert Stilin. Luke documents in-progress KOSA work as well as his adventures in parenting on his\xa0', '.']",,,
